# z    mu
1.400000000000000029e-02 3.407001926000000225e+01
1.940000000000000058e-02 3.472796035070000187e+01
2.639999999999999986e-02 3.543410231699999713e+01
3.289999999999999869e-02 3.592178295579999769e+01
3.960000000000000325e-02 3.633641895600000282e+01
4.750000000000000056e-02 3.673464399059999863e+01
5.600000000000000117e-02 3.707584596219999895e+01
6.400000000000000133e-02 3.741045435009999665e+01
7.209999999999999742e-02 3.767800745889999803e+01
8.110000000000000542e-02 3.805438557640000141e+01
8.890000000000000679e-02 3.820065540369999724e+01
1.000999999999999945e-01 3.853882424280000407e+01
1.071000000000000008e-01 3.867201853529999767e+01
1.194999999999999951e-01 3.887112951519999626e+01
1.277999999999999969e-01 3.905550262379999538e+01
1.396000000000000019e-01 3.931859307659999558e+01
1.519000000000000072e-01 3.944450251960000031e+01
1.635000000000000064e-01 3.956425376020000328e+01
1.778000000000000136e-01 3.983890089230000342e+01
1.905999999999999917e-01 4.000474561369999549e+01
2.066999999999999948e-01 4.018540079950000177e+01
2.215999999999999914e-01 4.036103225069999922e+01
2.404999999999999916e-01 4.055184400510000131e+01
2.558000000000000274e-01 4.070379307190000162e+01
2.762000000000000011e-01 4.086361377660000471e+01
2.972000000000000197e-01 4.107900143339999488e+01
3.215000000000000080e-01 4.131327727900000468e+01
3.452999999999999958e-01 4.146657510240000022e+01
3.708000000000000185e-01 4.164289400559999876e+01
4.048999999999999821e-01 4.187991924079999961e+01
4.354999999999999982e-01 4.205792725259999543e+01
4.737999999999999989e-01 4.229737664200000324e+01
5.173999999999999710e-01 4.250115944479999541e+01
5.742000000000000437e-01 4.280043450259999815e+01
6.299000000000000155e-01 4.300362803240000176e+01
7.239999999999999769e-01 4.336662930389999815e+01
8.209999999999999520e-01 4.374455197950000240e+01
9.510999999999999455e-01 4.414113237069999940e+01
1.233600000000000030e+00 4.480399401910000279e+01
1.612300000000000066e+00 4.542597291069999699e+01
